ID,Hour,value
p2938,322,0.0
p2939,322,0.0
p2940,322,0.0
p2941,322,0.0
p2942,322,0.0
p2943,322,0.0
p2944,322,0.0
p2945,322,0.0
p2946,322,0.0
p2947,322,0.0
p2948,322,0.0
p2949,322,0.0
p2950,322,0.0
p2951,322,0.0
p2952,322,0.0
p2953,322,0.0
p2954,322,0.0
p2955,322,0.0
p2956,322,0.0
p2957,322,0.0
p2958,322,0.0
p2959,322,0.0
p2960,322,0.0
p2961,322,0.0
p2962,322,0.0
p2963,322,0.0
p2964,322,0.0
p2965,322,0.0
p2966,322,0.0
p2967,322,0.0
p2968,322,0.0
p2969,322,0.0
p2970,322,0.0
p2971,322,0.0
p2972,322,0.0025
p2973,322,0.0
p2974,322,0.0
p2975,322,0.0
p2976,322,0.0
p2977,322,0.0
p2978,322,0.0
p2979,322,0.0
p2980,322,0.0
p2981,322,0.0
p2982,322,0.0
p2983,322,0.0
p2984,322,0.0
p2985,322,0.0
p2986,322,0.0
p2987,322,0.0
p2988,322,0.0
p2989,322,0.0
p2990,322,0.0
p2991,322,0.0
p2992,322,0.0
p2993,322,0.0
p2994,322,0.0
p2995,322,0.0
p2996,322,0.0
p2997,322,0.0
p2998,322,0.0
p2999,322,0.0
p3000,322,0.004
p3001,322,0.0
p3002,322,0.0
p3003,322,0.0
p3004,322,0.0
p3005,322,0.0
p3006,322,0.0
p3007,322,0.0
p3008,322,0.0
p3009,322,0.0
p3010,322,0.0
p3011,322,0.0
p3012,322,0.0
p3013,322,0.0
p3014,322,0.0
p3015,322,0.0
p3016,322,0.0
p3017,322,0.0142
p3018,322,0.0028
p3019,322,0.0065
p3020,322,0.0033
p3021,322,0.02
p3022,322,0.0
p3023,322,0.0
p3024,322,0.0
p3025,322,0.0196
p3026,322,0.0
p3027,322,0.0
p3028,322,0.0
p3029,322,0.0
p3030,322,0.0
p3031,322,0.0
p3032,322,0.0
p3033,322,0.0
p3034,322,0.0093
p3035,322,0.0
p3036,322,0.0
p3037,322,0.0
p3038,322,0.0
p3039,322,0.0
p3040,322,0.0
p3041,322,0.0
p3042,322,0.0
p3043,322,0.0
p3044,322,0.0
p3045,322,0.0
p3046,322,0.0
p3047,322,0.0
p3048,322,0.0044
p3049,322,0.0
p3050,322,0.0
p3051,322,0.0
p3052,322,0.0
p3053,322,0.0
p3054,322,0.0234
p3055,322,0.0
p3056,322,0.0
p3057,322,0.0
p3058,322,0.0
p168,323,0.0
p176,323,0.0
p177,323,0.0
p185,323,0.0
p190,323,0.0
p191,323,0.0
p192,323,0.0
p193,323,0.0
p194,323,0.0
p195,323,0.0
p198,323,0.0
p199,323,0.0
p202,323,0.0
p205,323,0.0
p212,323,0.0
p213,323,0.0
p219,323,0.0
p220,323,0.0
p221,323,0.0
p222,323,0.0
p223,323,0.0
p224,323,0.0
p271,323,49.505851896030286
p278,323,0.0
p282,323,0.0
p285,323,0.0
p2752,323,0.0
p2753,323,0.0065
p2754,323,0.0
p2755,323,0.0
p2756,323,0.0
p2757,323,0.0
p2758,323,0.0
p2759,323,0.0
p2760,323,0.0
p2761,323,0.0
p2762,323,0.0
p2763,323,0.0
p2764,323,0.0365
p2765,323,0.0144
p2766,323,0.0
p2767,323,0.0
p2768,323,0.0
p2769,323,0.0
p2770,323,0.0
p2771,323,0.0
p2772,323,0.0
p2773,323,0.0
p2774,323,0.0
p2775,323,0.0
p2776,323,0.0
p2777,323,0.0
p2778,323,0.0
p2779,323,0.0
p2780,323,0.0
p2781,323,0.0386
p2782,323,0.0
p2783,323,0.0
p2784,323,0.0
p2785,323,0.0
p2786,323,0.0
p2787,323,0.0
p2788,323,0.0
p2789,323,0.0
p2790,323,0.0
p2791,323,0.0
p2792,323,0.0
p2793,323,0.0135
p2794,323,0.0033
p2795,323,0.0
p2796,323,0.0
p2797,323,0.015
p2798,323,0.0
p2799,323,0.0
p2800,323,0.0
p2801,323,0.03211
p2802,323,0.0
p2803,323,0.0
p2804,323,0.0
p2805,323,0.0508
p2806,323,0.0
p2807,323,0.011
p2808,323,0.0
p2809,323,0.0
p2810,323,0.0
p2811,323,0.0
p2812,323,0.0
p2813,323,0.0
p2814,323,0.0244
p2815,323,0.0
p2816,323,0.0
p2817,323,0.0
p2818,323,0.0
p2819,323,0.0
p2820,323,0.0
p2821,323,0.0
p2822,323,0.01
p2823,323,0.0
p2824,323,0.0
p2825,323,0.0
p2826,323,0.0
p2827,323,0.0
p2828,323,0.0
p2829,323,0.0
p2830,323,0.0
p2831,323,0.0
p2832,323,0.0
p2833,323,0.0
p2834,323,0.0
p2835,323,0.0
p2836,323,0.0
p2837,323,0.0
p2838,323,0.0
p2839,323,0.0
p2840,323,0.0
p2841,323,0.0
p2842,323,0.0
p2843,323,0.0
p2844,323,0.0
p2845,323,0.0
p2846,323,0.0
p2847,323,0.0
p2848,323,0.0
p2849,323,0.0
p2850,323,0.0
p2851,323,0.0
p2852,323,0.0
p2853,323,0.0
p2854,323,0.0
p2855,323,0.0
p2856,323,0.0
p2857,323,0.0
p2858,323,0.0
p2859,323,0.0
p2860,323,0.0
p2861,323,0.0
p2862,323,0.0
p2863,323,0.0
p2864,323,0.0
p2865,323,0.0
p2866,323,0.0
p2867,323,0.0
p2868,323,0.0
p2869,323,0.0
p2870,323,0.0
p2871,323,0.0
p2872,323,0.0
p2873,323,0.0
p2874,323,0.0
p2875,323,0.0
p2876,323,0.0
p2877,323,0.0
p2878,323,0.0
p2879,323,0.0
p2880,323,0.0
