id,From,To,Voltage,Reactance,Resistance,Circuits,ThermalLimit
l882_1,n5674,n5680,220,2.937412617,0.585530754,3,1.29
l725_1,n5674,n5687,220,11.90052816,2.372198305,2,1.29
l897,n5687,n5689,220,4.309260138,0.858988732,1,1.29
l719_1,n5678,n5696,220,16.50229687,3.289494394,2,1.29
l717_1,n5666,n5710,220,19.82305214,3.951438965,2,1.29
l11476_1,n5676,n5710,220,9.38027706,1.86982267,2,1.29
l6466_1,n5669,n5711,220,2.273305772,0.453150652,3,1.29
l6915,n5710,n5711,220,2.520852044,0.502495424,1,1.29
l658_1,n5684,n5714,220,5.474672488,1.091296842,2,1.29
l1052_1,n4636,n6839,220,2.790781383,0.556301937,2,1.29
l552_1,n4631,n6839,220,2.863771213,0.570851405,2,1.29
l680_1,n4676,n6841,220,11.12674846,2.217956504,2,1.29
l9592,n4646,n6841,220,8.983604453,1.790751718,1,1.29
l9593,n4644,n6841,220,3.771296352,0.751753426,1,1.29
l9621_1,n4584,n6843,220,5.994978009,1.195012228,2,1.29
l9620_1,n4661,n6843,220,2.07805766,0.414230763,2,1.29
l7488,n4719,n6846,220,3.543116412,0.706269052,1,1.29
l712_1,n4756,n6848,220,9.96836565,1.987049631,2,1.29
l9600_1,n4720,n6851,220,3.896740462,0.776758896,2,1.29
l9599_1,n4587,n6851,220,5.249152293,1.04634265,2,1.29
l9614_1,n4603,n6854,220,3.348101943,0.667395736,2,1.29
l9615_1,n4793,n6854,220,6.737669304,1.343057004,2,1.29
l554_1,n5651,n7264,220,2.247600298,0.448026638,2,1.29
l557_1,n4719,n7266,220,2.772035006,0.552565117,2,1.29
l9618_1,n4610,n7268,220,7.920789964,1.578895009,2,1.29
l9617_1,n4605,n7268,220,2.291581356,0.456793626,2,1.29
l691_1,n6846,n7270,220,14.08304658,2.807251811,2,1.29
l6465_1,n5735,n7486,220,1.87494172,0.373742536,3,1.29
l10880_1,n5669,n7486,220,3.463500415,0.690398754,3,1.29
l10881_1,n5710,n7486,220,4.720555976,0.940974613,3,1.29
l9602_1,n4545,n7610,220,21.29559529,4.244969161,2,1.29
l9312_1,n5537,n7610,220,2.522562293,0.502836337,2,1.29
l9603_1,n4533,n7610,220,14.96400407,2.982857954,2,1.29
l683_1,n3469,n7649,220,1.975810429,0.393849255,2,1.29
l848_1,n3458,n7649,220,19.33748301,3.854647776,2,1.29
l998_1,n3468,n7649,220,1.908923272,0.380516267,2,1.29
l667_1,n4610,n7652,220,4.672714339,0.931438074,2,1.29
l881_1,n4505,n7720,220,48.40939788,9.649713864,2,1.29
