id,zone,lat,lon
n4722,DE,49.603591,8.473206
n4723,DE,49.530557,8.680573
n4724,DE,49.942,8.8
n4725,DE,49.922,8.8
n4726,DE,50.115295,8.530884
n4727,DE,50.789443,8.453979
n4728,DE,51.158677,8.388062
n4729,DE,50.242814,8.760223
n4730,DE,50.657297,8.705292
n4731,DE,51.385495,8.692932
n4732,DE,49.516293,8.945618
n4733,DE,50.105,8.973
n4734,DE,50.085,8.973
n4735,DE,49.720928,9.500427
n4736,DE,49.603591,9.363098
n4737,DE,51.029304,9.258728
n4738,DE,51.084547,9.025269
n4739,DE,51.344339,8.896179
n4740,DE,50.85971,9.621277
n4741,DE,51.194836,9.529266
n4742,DE,51.306579,9.552612
n4743,DE,52.390687,8.893433
n4744,DE,52.024,8.759
n4745,DE,52.004,8.759
n4746,DE,51.908,8.429
n4747,DE,51.888,8.429
n4748,DE,51.668297,8.815155
n4749,DE,52.036,8.609
n4750,DE,52.016,8.609
n4751,DE,52.104818,8.665466
n4752,DE,51.994,8.952
n4753,DE,51.974,8.952
n4754,DE,51.707459,8.691559
