ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Latitude,Longitude
p306,n4521,steam,lignite,56.8,0.3712,0.363610181,27.91676315,50.856981,12.923096
p307,n4521,steam,lignite,90.8,0.376,0.363610181,27.76578644,50.856981,12.923096
p308,n4540,steam,lignite,74,0.3976,0.363610181,27.13150201,51.76017,14.37004
p309,n4529,steam,lignite,49,0.3904,0.363610181,27.33513158,51.82685,12.23003
p310,n4641,steam,lignite,27.5,0.3088,0.363610181,30.30657577,51.44089,6.70543
p311,n4627,steam,lignite,9.3,0.3592,0.363610181,28.31185809,50.77701,6.48605
p312,n4625,steam,lignite,321,0.316,0.363610181,29.98265959,50.839167,6.321111
p313,n4625,steam,lignite,321,0.3208,0.363610181,29.77479318,50.839167,6.321111
p314,n4625,steam,lignite,636,0.3376,0.363610181,29.09380903,50.839167,6.321111
p315,n4625,steam,lignite,636,0.34,0.363610181,29.00201923,50.839167,6.321111
p316,n8047,steam,lignite,14.5,0.4312,0.363610181,26.27114507,50.65803,6.81012
p317,n4579,steam,lignite,45,0.3928,0.363610181,27.26642561,52.346,14.546
p318,n7282,steam,lignite,110,0.3016,0.363610181,30.64595744,50.8976,6.793099
p319,n4634,steam,lignite,1060,0.4288,0.363610181,26.32812766,51.0365,6.61332
p320,n4634,steam,lignite,1060,0.4288,0.363610181,26.32812766,51.0365,6.61332
p321,n4634,steam,lignite,284,0.3184,0.363610181,29.87794297,51.05744518,6.577080395
p322,n4634,steam,lignite,278,0.328,0.363610181,29.47440087,51.05744518,6.577080395
p323,n4634,steam,lignite,294,0.3328,0.363610181,29.2813603,51.039475,6.615041
p324,n4634,steam,lignite,294,0.3328,0.363610181,29.2813603,51.039475,6.615041
p325,n4634,steam,lignite,292,0.3352,0.363610181,29.18691324,51.039475,6.615041
p326,n4634,steam,lignite,607,0.34,0.363610181,29.00201923,51.039475,6.615041
p327,n4634,steam,lignite,604,0.3424,0.363610181,28.91151621,51.039475,6.615041
p328,n4596,steam,lignite,352,0.364,0.363610181,28.15069409,52.17237156,10.97682873
p329,n4779,steam,lignite,40,0.3832,0.363610181,27.54641319,50.8608,6.8402
p330,n7282,steam,lignite,55,0.3784,0.363610181,27.69173444,50.86138,6.84066
p331,n4626,steam,lignite,24.6,0.4096,0.363610181,26.80802796,50.91517,6.36935
p332,n4742,steam,lignite,33.5,0.3712,0.363610181,27.91676315,51.279099,9.484012
p333,n4651,steam,lignite,75.3,0.424,0.363610181,26.44402811,51.01781,6.96435
p334,n4502,steam,lignite,20.3,0.3832,0.363610181,27.54641319,51.69784,11.7581
p335,n4540,steam,lignite,465,0.3544,0.363610181,28.47738771,51.83444099,14.45903778
p336,n4540,steam,lignite,465,0.3568,0.363610181,28.39406619,51.83444099,14.45903778
p337,n4540,steam,lignite,465,0.3616,0.363610181,28.23074125,51.83444099,14.45903778
p338,n4540,steam,lignite,465,0.364,0.363610181,28.15069409,51.83444099,14.45903778
p339,n4540,steam,lignite,465,0.3688,0.363610181,27.99372524,51.83444099,14.45903778
p340,n4540,steam,lignite,465,0.3736,0.363610181,27.84078986,51.83444099,14.45903778
p341,n4497,steam,lignite,450,0.3904,0.363610181,27.33513158,51.39845463,11.9504201
p342,n4497,steam,lignite,450,0.3904,0.363610181,27.33513158,51.39845463,11.9504201
p343,n4561,steam,lignite,45,0.3496,0.363610181,28.64746277,51.462749,11.714028
p344,n4547,steam,lignite,750,0.3928,0.363610181,27.26642561,51.53482028,14.35312271
p345,n4547,steam,lignite,750,0.3952,0.363610181,27.19855412,51.53482028,14.35312271
p346,n7907,steam,lignite,67,0.2464,0.363610181,33.90681297,51.11187,12.07617
p347,n4553,steam,lignite,31,0.3856,0.363610181,27.4751093,51.16664,12.07622
p348,n7907,steam,lignite,18.5,0.3832,0.363610181,27.54641319,51.04885,12.11038
p349,n8047,steam,lignite,19.5,0.3472,0.363610181,28.73426374,50.7055,6.65362
p350,n4634,steam,lignite,129,0.2968,0.363610181,30.88135965,51.05744518,6.577080395
p351,n4634,steam,lignite,130,0.2968,0.363610181,30.88135965,51.05744518,6.577080395
p352,n4634,steam,lignite,124,0.304,0.363610181,30.531044,51.05744518,6.577080395
p353,n4625,steam,lignite,123,0.292,0.363610181,31.1245011,50.839167,6.321111
p354,n4625,steam,lignite,135,0.3016,0.363610181,30.64595744,50.839167,6.321111
p355,n4634,steam,lignite,128,0.304,0.363610181,30.531044,51.05744518,6.577080395
p356,n4634,steam,lignite,136,0.3088,0.363610181,30.30657577,51.05744518,6.577080395
p357,n4634,steam,lignite,130,0.3016,0.363610181,30.64595744,51.05744518,6.577080395
p358,n4634,steam,lignite,132,0.304,0.363610181,30.531044,51.05744518,6.577080395
p359,n4634,steam,lignite,135,0.3136,0.363610181,30.08897902,51.05744518,6.577080395
