Nuclear,Lignite,HardCoal,NaturalGas,Oil(light),Oil(heavy),OtherFuels,Waste,hydro,Biomass,Geothermal,wind onshore,wind offshore,sun
1,1,1,1,1,1,1,1,1,1,1,0.420694503,0.686509636,0
1,1,1,1,1,1,1,1,1,1,1,0.515844229,0.684796574,0
1,1,1,1,1,1,1,1,1,1,1,0.592548854,0.679657388,0
1,1,1,1,1,1,1,1,1,1,1,0.661830451,0.657601713,0.002714048
1,1,1,1,1,1,1,1,1,1,1,0.712723183,0.641970021,0.020192516
1,1,1,1,1,1,1,1,1,1,1,0.766905666,0.65503212,0.036332055
1,1,1,1,1,1,1,1,1,1,1,0.799353297,0.673233405,0.049612796
1,1,1,1,1,1,1,1,1,1,1,0.803205399,0.672805139,0.054534269
1,1,1,1,1,1,1,1,1,1,1,0.788078167,0.672376874,0.050010856
1,1,1,1,1,1,1,1,1,1,1,0.767636721,0.662740899,0.036332055
1,1,1,1,1,1,1,1,1,1,1,0.77539716,0.675802998,0.015560541
1,1,1,1,1,1,1,1,1,1,1,0.771629411,0.683940043,0.001664616
1,1,1,1,1,1,1,1,1,1,1,0.748910446,0.673233405,7.24E-05
1,1,1,1,1,1,1,1,1,1,1,0.760635456,0.658672377,0
1,1,1,1,1,1,1,1,1,1,1,0.775734571,0.611349036,0
1,1,1,1,1,1,1,1,1,1,1,0.799044004,0.64882227,0
1,1,1,1,1,1,1,1,1,1,1,0.804245747,0.666381156,0
1,1,1,1,1,1,1,1,1,1,1,0.779558555,0.659957173,0
1,1,1,1,1,1,1,1,1,1,1,0.784591593,0.672162741,0
1,1,1,1,1,1,1,1,1,1,1,0.788893575,0.674518201,0
1,1,1,1,1,1,1,1,1,1,1,0.778461971,0.675374732,0
1,1,1,1,1,1,1,1,1,1,1,0.766230845,0.67751606,0
1,1,1,1,1,1,1,1,1,1,1,0.758414171,0.680513919,0
1,1,1,1,1,1,1,1,1,1,1,0.751384788,0.676445396,0
1,1,1,1,1,1,1,1,1,1,1,0.744102348,0.667237687,0
1,1,1,1,1,1,1,1,1,1,1,0.776943624,0.671520343,0
1,1,1,1,1,1,1,1,1,1,1,0.763390974,0.671520343,0
1,1,1,1,1,1,1,1,1,1,1,0.756699002,0.676659529,0.003039734
1,1,1,1,1,1,1,1,1,1,1,0.747729509,0.67366167,0.032713324
1,1,1,1,1,1,1,1,1,1,1,0.744327288,0.676445396,0.087609467
1,1,1,1,1,1,1,1,1,1,1,0.748263742,0.67751606,0.125750887
1,1,1,1,1,1,1,1,1,1,1,0.741009419,0.6751606,0.145690092
1,1,1,1,1,1,1,1,1,1,1,0.705525095,0.682655246,0.127379315
1,1,1,1,1,1,1,1,1,1,1,0.630957402,0.677730193,0.08420786
1,1,1,1,1,1,1,1,1,1,1,0.580092788,0.671092077,0.03586162
1,1,1,1,1,1,1,1,1,1,1,0.511682834,0.643683084,0.004089166
1,1,1,1,1,1,1,1,1,1,1,0.454548011,0.584368308,0.000144749
1,1,1,1,1,1,1,1,1,1,1,0.403036693,0.450963597,0
1,1,1,1,1,1,1,1,1,1,1,0.379024322,0.377944325,0
1,1,1,1,1,1,1,1,1,1,1,0.385800647,0.279657388,0
1,1,1,1,1,1,1,1,1,1,1,0.38450724,0.178158458,0
1,1,1,1,1,1,1,1,1,1,1,0.38689723,0.101927195,0
1,1,1,1,1,1,1,1,1,1,1,0.411584423,0.070877944,0
1,1,1,1,1,1,1,1,1,1,1,0.436749613,0.094646681,0
1,1,1,1,1,1,1,1,1,1,1,0.464782792,0.12248394,0
1,1,1,1,1,1,1,1,1,1,1,0.480922255,0.148608137,0
1,1,1,1,1,1,1,1,1,1,1,0.495065373,0.194432548,0
1,1,1,1,1,1,1,1,1,1,1,0.537297905,0.2751606,0
1,1,1,1,1,1,1,1,1,1,1,0.572107409,0.266167024,0
1,1,1,1,1,1,1,1,1,1,1,0.605145508,0.272805139,0
1,1,1,1,1,1,1,1,1,1,1,0.621481794,0.316916488,0
1,1,1,1,1,1,1,1,1,1,1,0.634022213,0.393361884,0.00416154
1,1,1,1,1,1,1,1,1,1,1,0.618529453,0.353319058,0.029673591
1,1,1,1,1,1,1,1,1,1,1,0.603233516,0.472376874,0.065933271
1,1,1,1,1,1,1,1,1,1,1,0.581498664,0.569379015,0.091843381
1,1,1,1,1,1,1,1,1,1,1,0.56389709,0.501927195,0.106209742
1,1,1,1,1,1,1,1,1,1,1,0.556192886,0.568308351,0.101324455
1,1,1,1,1,1,1,1,1,1,1,0.541628005,0.637259101,0.077730332
1,1,1,1,1,1,1,1,1,1,1,0.522367496,0.653961456,0.036114931
1,1,1,1,1,1,1,1,1,1,1,0.539097427,0.602997859,0.004776724
1,1,1,1,1,1,1,1,1,1,1,0.546323633,0.592719486,0.000108562
1,1,1,1,1,1,1,1,1,1,1,0.560494869,0.586509636,0
1,1,1,1,1,1,1,1,1,1,1,0.569155068,0.372162741,0
1,1,1,1,1,1,1,1,1,1,1,0.550597498,0.425481799,0
1,1,1,1,1,1,1,1,1,1,1,0.523492197,0.459957173,0
1,1,1,1,1,1,1,1,1,1,1,0.505328272,0.492933619,0
1,1,1,1,1,1,1,1,1,1,1,0.504878392,0.503211991,0
1,1,1,1,1,1,1,1,1,1,1,0.525938423,0.565952891,0
1,1,1,1,1,1,1,1,1,1,1,0.559651343,0.605567452,0
1,1,1,1,1,1,1,1,1,1,1,0.570307887,0.631691649,0
1,1,1,1,1,1,1,1,1,1,1,0.566258962,0.635974304,0
1,1,1,1,1,1,1,1,1,1,1,0.551890904,0.63640257,0
1,1,1,1,1,1,1,1,1,1,1,0.539378603,0.635974304,0
1,1,1,1,1,1,1,1,1,1,1,0.556642767,0.637901499,0
1,1,1,1,1,1,1,1,1,1,1,0.534429917,0.619057816,0
1,1,1,1,1,1,1,1,1,1,1,0.504372276,0.555674518,0.002894984
1,1,1,1,1,1,1,1,1,1,1,0.463629973,0.552890792,0.028479409
1,1,1,1,1,1,1,1,1,1,1,0.444819345,0.553961456,0.06513715
1,1,1,1,1,1,1,1,1,1,1,0.442232532,0.601713062,0.103929941
1,1,1,1,1,1,1,1,1,1,1,0.45615071,0.632334047,0.131938916
1,1,1,1,1,1,1,1,1,1,1,0.447968508,0.662955032,0.131721792
1,1,1,1,1,1,1,1,1,1,1,0.459271756,0.666595289,0.095172613
1,1,1,1,1,1,1,1,1,1,1,0.456966118,0.665952891,0.04230296
1,1,1,1,1,1,1,1,1,1,1,0.470518768,0.664668094,0.005066223
1,1,1,1,1,1,1,1,1,1,1,0.478054267,0.667237687,0.000108562
1,1,1,1,1,1,1,1,1,1,1,0.509039786,0.648179872,0
1,1,1,1,1,1,1,1,1,1,1,0.49886124,0.650963597,0
1,1,1,1,1,1,1,1,1,1,1,0.472543231,0.640042827,0
1,1,1,1,1,1,1,1,1,1,1,0.457697174,0.64732334,0
1,1,1,1,1,1,1,1,1,1,1,0.430085758,0.641541756,0
1,1,1,1,1,1,1,1,1,1,1,0.419485449,0.650107066,0
1,1,1,1,1,1,1,1,1,1,1,0.419626037,0.640256959,0
1,1,1,1,1,1,1,1,1,1,1,0.413412062,0.621841542,0
1,1,1,1,1,1,1,1,1,1,1,0.406467032,0.59764454,0
1,1,1,1,1,1,1,1,1,1,1,0.400759173,0.593147752,0
1,1,1,1,1,1,1,1,1,1,1,0.386362997,0.572591006,0
1,1,1,1,1,1,1,1,1,1,1,0.381976662,0.499785867,0
1,1,1,1,1,1,1,1,1,1,1,0.367777309,0.41006424,0
1,1,1,1,1,1,1,1,1,1,1,0.346520456,0.272162741,0
1,1,1,1,1,1,1,1,1,1,1,0.324954309,0.211563169,0.002424549
1,1,1,1,1,1,1,1,1,1,1,0.291859975,0.20856531,0.020626764
1,1,1,1,1,1,1,1,1,1,1,0.255616477,0.215417559,0.057646378
1,1,1,1,1,1,1,1,1,1,1,0.232307043,0.175802998,0.099008468
1,1,1,1,1,1,1,1,1,1,1,0.216982989,0.168950749,0.122819715
1,1,1,1,1,1,1,1,1,1,1,0.200253058,0.109421842,0.124665267
1,1,1,1,1,1,1,1,1,1,1,0.183438774,0.123768737,0.098755157
1,1,1,1,1,1,1,1,1,1,1,0.162406861,0.104710921,0.049793732
1,1,1,1,1,1,1,1,1,1,1,0.157795586,0.09143469,0.006947963
1,1,1,1,1,1,1,1,1,1,1,0.148994798,0.104282655,0.000108562
